company_name,company_age,diversity_score,glassdoor_rating,hq_region
James Group,38,6.11,4.2,Europe
Sawyer Group,32,7.71,3.7,North America
Hancock and Sons,29,7.59,4.8,North America
"Erickson, Armstrong and Lee",56,9.53,3.2,Asia
"Parker, Ortiz and Powell",11,8.33,3.0,North America
"Long, Leblanc and Hickman",96,7.79,4.7,Europe
Clay Group,32,7.17,4.5,South America
"Whitney, Gould and Jones",30,9.63,3.5,Asia
"Miller, Harrell and Reese",49,9.18,3.5,Asia
Hunt-Burns,90,8.92,3.7,South America
Armstrong and Sons,78,5.9,2.9,North America
Villanueva LLC,80,9.57,4.3,Europe
"Cox, Mills and Cruz",98,6.89,2.8,Oceania
"Miller, Mcdowell and Curtis",97,7.26,4.4,North America
Kane-Bennett,9,6.62,2.7,South America
Reyes-Bradley,68,8.28,4.4,Oceania
Wilson-Harris,38,8.37,2.5,Asia
Watson-Roberts,81,9.8,3.5,North America
Johnston Inc,25,7.51,3.4,North America
Patterson Inc,92,9.27,4.4,South America
Hughes-Alvarado,86,7.5,4.3,South America
Ramirez Inc,13,9.24,3.4,North America
Lopez-Jones,71,9.24,3.7,South America
Murphy-Tran,50,8.41,3.5,Asia
"Hunter, Gross and Andrade",26,8.97,4.7,Asia
"Brown, Robinson and Taylor",83,6.03,4.0,Oceania
"Acosta, Campbell and Leblanc",19,8.82,3.9,South America
Nelson-King,25,5.24,3.5,South America
Smith-Yu,84,6.75,2.8,North America
"Olsen, Walker and Vincent",14,6.17,4.2,Asia
Welch-Thompson,99,7.03,4.4,Africa
"Jones, Smith and Hunter",63,5.38,3.6,North America
Hicks-Burns,7,6.38,3.3,Africa
"Carroll, King and Scott",77,8.98,3.2,North America
Williams-Juarez,50,6.93,3.5,South America
"Turner, Ortiz and Taylor",14,7.45,3.7,South America
Hall-Robinson,70,7.59,4.2,Asia
Meza Group,18,6.43,3.2,Oceania
"Gonzalez, Smith and Padilla",83,7.02,3.4,Asia
Hayes and Sons,62,9.06,2.8,Oceania
"Hudson, Bennett and Gray",98,6.29,3.2,Oceania
Foster-Williams,76,5.43,2.6,South America
Lewis-Livingston,9,7.1,3.0,Europe
"Walker, Cunningham and Zuniga",21,5.76,4.8,Europe
Gutierrez-White,73,5.53,3.4,North America
Bates-Anderson,40,6.8,4.2,Africa
"Russo, Collins and Murphy",39,6.22,2.9,Oceania
Castillo LLC,40,7.68,4.2,Europe
Castillo-Harrington,75,5.68,4.9,South America
"James, Bell and Chen",54,5.52,3.4,Asia
Lopez-Fritz,57,7.94,3.5,Europe
Glover-Chan,65,9.66,3.3,North America
Hancock and Sons,24,9.08,4.7,Asia
"Phillips, Thompson and Smith",62,5.47,4.0,Africa
Tran Ltd,24,9.79,4.8,Oceania
"Gallegos, Adams and White",96,5.51,4.9,Asia
"Young, Wilson and Moreno",7,5.96,4.1,North America
"Clark, Carpenter and Nguyen",94,6.12,3.8,Europe
Oneal-Duncan,82,9.23,3.2,Asia
Ford-Moody,8,9.34,4.0,Africa
"Newton, Ortiz and King",1,6.96,3.7,Asia
Robertson-Ramirez,89,6.09,4.8,Africa
Hernandez-Campbell,50,8.24,4.3,Asia
