education_required,avg_salary_usd,avg_years_experience
Bachelor,145499,9
PhD,116841,0
Associate,95720,4
Diploma,64598,2
PhD,125517,8
Bachelor,92067,2
Certificate,50757,4
Diploma,117564,0
Certificate,94842,6
Diploma,74618,8
Associate,148156,4
Master,113559,1
Diploma,60352,4
Certificate,105453,1
Associate,72903,
Diploma,100531,
Master,53302,
PhD,138270,
Associate,114375,7
Bachelor,94862,7
Diploma,115983,7
Certificate,52876,6
Master,75432,2
PhD,50809,8
Diploma,137052,9
PhD,126713,1
Diploma,62089,0
Bachelor,108978,5
Master,147320,0
Associate,101443,7
Certificate,99918,8
Certificate,80894,0
Associate,147679,7
Master,106201,2
Diploma,117446,7
Diploma,132576,9
Master,91864,2
Diploma,61560,0
PhD,74352,0
Associate,70593,6
Diploma,118495,0
Associate,65435,9
Associate,67464,3
Bachelor,95954,4
PhD,80303,2
Bachelor,74080,6
Associate,79970,0
Master,142643,1
PhD,115903,4
Diploma,112372,1
Associate,93649,5
Certificate,88102,0
Master,114377,7
Diploma,144709,0
Associate,121723,1
Bachelor,86624,5
Diploma,64887,6
Bachelor,139850,3
PhD,87000,4
Diploma,114662,8
Associate,95911,5
Diploma,58732,4
PhD,64318,7
Certificate,75203,7
PhD,66914,3
PhD,137213,6
Bachelor,124120,7
PhD,117420,7
Bachelor,112831,2
Associate,147460,2
Bachelor,78604,0
PhD,63078,2
Associate,81143,3
Associate,145818,5
Associate,77167,4
Bachelor,139782,2
Diploma,67507,8
PhD,63366,8
Master,139457,6
Master,97024,4
PhD,106871,1
Diploma,119649,2
Certificate,116026,2
PhD,107167,2
Associate,74401,2
Associate,122179,7
Master,128597,9
Bachelor,138585,6
Diploma,123623,7
Diploma,79394,1
Associate,118126,6
Certificate,93300,3
Certificate,96216,5
Bachelor,73032,9
PhD,144434,9
PhD,139305,1
PhD,112939,0
Diploma,103275,1
Certificate,57199,3
Bachelor,123732,5
Bachelor,79449,6
Master,95359,2
,,2
,,9
,,1
,,6
,,2
Diploma,132361,5
Bachelor,149469,5
Certificate,104261,9
Associate,114621,6
Diploma,108090,4
Bachelor,132377,4
Master,54058,5
Master,137745,9
Diploma,92479,1
Master,137024,5
Diploma,130567,8
Diploma,67476,3
Bachelor,90723,2
Associate,130946,2
Certificate,108626,7
Associate,133080,0
PhD,90387,9
Associate,128451,2
Associate,146822,9
Master,93046,0
PhD,54291,0
Bachelor,94347,8
PhD,75651,5
Bachelor,87029,7
Associate,55113,6
Bachelor,77080,2
Associate,67609,1
Bachelor,101272,2
Master,136375,5
Master,111400,1
PhD,84196,5
Certificate,137651,8
Associate,80190,7
Bachelor,67549,0
Certificate,147378,0
Bachelor,61292,2
Bachelor,130912,3
PhD,51176,1
PhD,117866,0
Diploma,77876,4
Associate,124116,2
PhD,115993,3
Certificate,54818,4
Master,95028,8
Certificate,71593,2
PhD,68709,5
Certificate,108567,1
PhD,123873,7
Bachelor,120922,8
PhD,82085,0
Diploma,126976,2
Associate,132430,0
Certificate,84864,7
Bachelor,139788,0
Diploma,146793,5
Bachelor,143451,8
Bachelor,141620,4
Bachelor,71399,6
Associate,71075,3
Diploma,79577,4
Diploma,50605,3
Diploma,101784,6
Bachelor,143396,3
Associate,74258,4
Diploma,51264,6
Master,140182,6
Diploma,77009,9
Associate,118746,7
Bachelor,51341,0
Bachelor,114671,7
Certificate,130326,6
Associate,81639,7
Diploma,72344,1
Bachelor,121046,2
Master,126939,1
Associate,114307,4
Associate,142107,9
Diploma,133978,5
Associate,149182,9
Master,115695,5
Master,113863,0
Diploma,65844,5
PhD,86287,3
Bachelor,77365,4
Certificate,51604,3
Diploma,89927,1
PhD,146237,8
Bachelor,60993,2
Bachelor,87474,1
Certificate,64548,8
Bachelor,131016,7
PhD,93355,4
Diploma,143414,9
PhD,83895,0
Associate,117862,3
Diploma,132019,3
PhD,119497,6
Certificate,74627,0
Certificate,51914,5
Associate,146191,3
PhD,68731,6
Bachelor,87891,4
Diploma,88310,3
Bachelor,90625,9
Diploma,109606,9
Certificate,147985,4
PhD,103695,2
Associate,149168,1
PhD,114991,4
Diploma,78914,8
PhD,89707,9
Master,137907,9
Certificate,93993,9
Bachelor,68501,8
Certificate,54710,7
Diploma,103792,5
Associate,133002,6
Associate,118634,3
Diploma,80078,2
PhD,104832,1
Associate,111569,5
Associate,127037,8
Master,133797,0
Bachelor,66385,5
Diploma,74772,1
PhD,149839,1
Bachelor,57806,6
Diploma,85924,2
Bachelor,78553,8
Bachelor,134600,6
Master,69698,6
Bachelor,103546,1
Master,91912,2
PhD,115157,9
Certificate,56384,1
Bachelor,113221,6
Certificate,145768,0
Master,100002,7
Associate,56275,4
Diploma,52310,4
PhD,136486,6
Certificate,134845,2
Certificate,116753,3
Bachelor,52764,6
Bachelor,127380,5
Certificate,119066,9
Diploma,80301,0
Bachelor,51082,9
Master,99719,1
Bachelor,84485,9
Associate,88618,6
Associate,56684,7
Bachelor,57774,0
Certificate,146693,4
Master,67721,4
Associate,143607,3
Master,74982,9
Master,82149,2
Master,68426,6
Associate,69611,3
Certificate,78274,0
PhD,104434,7
Master,65159,1
Certificate,122213,4
Diploma,85472,8
Diploma,108187,9
Master,74927,8
Associate,132371,3
Associate,125860,9
Associate,146078,1
Master,89505,6
Master,124604,2
PhD,65266,1
PhD,63295,7
Associate,142406,2
Bachelor,82617,8
Diploma,95233,2
Master,80199,8
Certificate,80630,8
Certificate,106938,9
,,4
,,0
Associate,137796,7
Bachelor,122455,9
Bachelor,143784,5
Master,130051,2
Master,76449,1
Master,58277,4
Associate,85783,2
PhD,128671,2
PhD,107955,6
Certificate,54916,9
Certificate,70504,2
Bachelor,56125,2
Certificate,146226,5
Master,85231,3
Bachelor,140826,9
Bachelor,142105,0
PhD,54651,2
Master,81715,3
Bachelor,80884,0
Diploma,70644,2
Master,108602,7
Associate,58478,3
Certificate,67354,9
Diploma,126402,9
Diploma,94449,9
Bachelor,71061,4
Diploma,147577,8
Master,144179,4
Bachelor,115487,6
PhD,80863,6
Master,120676,0
Master,67964,4
Certificate,86294,2
PhD,92499,4
Associate,107879,6
Associate,99601,8
Diploma,55490,0
Certificate,89660,3
Master,113871,7
Diploma,104556,2
Certificate,52089,4
Diploma,81021,8
Diploma,82888,2
Master,144319,8
PhD,55673,1
Diploma,116017,8
Associate,111741,1
Associate,98452,1
PhD,95225,0
Certificate,63115,8
Bachelor,92660,6
Bachelor,66794,5
Certificate,104299,0
Master,108727,7
Bachelor,61420,9
Master,92729,9
Associate,105294,6
Master,97977,6
Bachelor,72591,2
PhD,130572,3
Associate,75633,9
Master,135556,3
PhD,143581,4
Certificate,56777,0
PhD,80025,7
Master,77165,2
Certificate,66685,5
Master,74787,2
Certificate,91738,3
Bachelor,89857,0
PhD,116338,8
Bachelor,115211,9
Master,99904,5
Diploma,110542,4
Diploma,89256,1
Bachelor,50010,2
Diploma,139171,6
Master,,
Master,,
Diploma,,
Diploma,77199,1
Bachelor,111464,3
Associate,68787,2
Certificate,55148,4
Bachelor,61447,8
Associate,76022,2
Diploma,89651,3
Certificate,69114,4
Certificate,91159,4
Master,50012,4
Bachelor,64240,9
Certificate,81069,9
PhD,138610,2
PhD,60671,6
Bachelor,148858,6
PhD,108854,0
Master,101342,0
Certificate,77377,4
Diploma,94337,2
Certificate,52849,5
Diploma,58843,4
Certificate,122166,9
Diploma,68254,9
Diploma,51028,3
Certificate,138061,8
Diploma,69228,1
Certificate,100647,9
Associate,69159,8
Certificate,122018,5
Master,58882,1
Bachelor,83519,3
Master,50997,6
Certificate,73403,4
Associate,90156,4
Master,143067,5
Associate,97334,2
Diploma,80842,5
Diploma,116245,3
PhD,58796,7
Certificate,80075,1
Bachelor,73139,6
PhD,135302,4
Diploma,102606,0
PhD,108968,9
Diploma,67496,6
Bachelor,51727,6
Certificate,70314,6
Bachelor,73789,5
Certificate,96252,6
PhD,58923,9
PhD,108476,8
Master,136326,6
Associate,130377,5
Master,86233,3
Bachelor,93707,9
Master,122421,5
Diploma,62411,1
Certificate,53054,9
Certificate,71320,1
Master,131603,0
Bachelor,54615,9
PhD,140634,4
PhD,118443,9
Associate,69240,5
Certificate,144065,3
Associate,73032,2
Associate,62062,3
Diploma,95090,4
Bachelor,62163,1
Associate,57450,4
Associate,92729,1
Bachelor,104769,2
PhD,80376,1
Certificate,118858,8
Certificate,97322,5
Bachelor,109736,0
Diploma,147310,4
Bachelor,98843,4
PhD,65259,4
Diploma,144762,0
Diploma,70775,2
Associate,93857,2
Bachelor,123029,0
Master,70651,9
Master,121368,9
Master,122715,4
Master,123598,7
Diploma,64863,4
Associate,50772,5
PhD,52521,2
PhD,76531,1
Bachelor,61270,2
Master,105711,8
Associate,125009,3
Associate,102586,9
Diploma,107867,3
Bachelor,54538,4
PhD,86595,6
Bachelor,73658,3
PhD,117875,8
Bachelor,63453,5
Master,124830,2
Associate,77616,2
Bachelor,72308,6
Master,148140,6
Master,68624,9
Diploma,142730,4
Master,123803,5
Diploma,134479,6
Master,95526,3
Certificate,87580,7
Bachelor,98606,5
Associate,56021,0
Diploma,66542,2
Diploma,103165,7
Associate,118075,5
Diploma,76004,0
Bachelor,111254,6
Master,53050,9
Master,119044,2
Diploma,89182,2
Bachelor,96583,6
Bachelor,125685,3
Certificate,50712,6
Bachelor,97668,9
Associate,143597,8
Diploma,95772,3
Diploma,51982,3
Associate,64008,0
Certificate,90626,2
Certificate,78455,0
Diploma,99689,8
Certificate,97023,9
PhD,134203,7
PhD,112931,9
Diploma,148155,7
Certificate,107291,3
PhD,113404,9
Diploma,137987,6
PhD,96544,6
Certificate,93449,4
Bachelor,129821,3
Master,64141,2
PhD,99927,1
PhD,68660,2
Master,118454,9
Certificate,69293,5
Master,141016,1
Master,65831,3
Master,148014,6
Master,143823,5
PhD,144195,4
Associate,114145,2
Bachelor,75405,6
PhD,146626,5
Associate,93207,1
Certificate,112054,8
PhD,96379,6
Master,89732,3
Diploma,96551,3
Associate,143131,9
Certificate,112480,7
Diploma,79814,2
Diploma,70633,1
Diploma,140138,6
PhD,50848,7
Associate,76075,6
Master,134968,9
PhD,121070,1
Certificate,123740,3
Associate,69815,1
Bachelor,112168,5
Diploma,56928,2
Diploma,114754,0
Associate,82923,4
Certificate,69259,2
Associate,60886,7
Certificate,130555,9
Certificate,71501,6
Diploma,144153,3
Associate,82005,6
PhD,65965,2
Master,138450,8
PhD,88713,5
Bachelor,105662,5
Master,68098,6
Bachelor,131011,7
PhD,113024,9
PhD,57951,8
Diploma,65374,4
Master,57766,5
Associate,117942,0
Bachelor,67481,1
Associate,132909,7
Master,54054,1
Bachelor,94611,2
Associate,93212,2
PhD,85901,6
PhD,119833,8
Diploma,130132,9
Diploma,118226,1
Associate,78544,0
Diploma,114793,0
Certificate,125429,9
Diploma,72346,1
Bachelor,102049,4
Certificate,86583,2
Master,87402,6
PhD,142540,8
Certificate,135496,9
PhD,96401,5
Diploma,131839,4
PhD,87177,3
PhD,63955,4
Certificate,82984,1
Certificate,133999,8
PhD,134151,0
Associate,101437,5
Diploma,120518,2
PhD,80573,1
Certificate,81959,4
Certificate,137380,9
Master,99519,0
PhD,139661,5
Associate,66863,1
Bachelor,76905,9
Master,96586,9
Master,127639,3
Diploma,75695,7
Master,99498,3
Bachelor,52041,0
Certificate,106382,4
Certificate,118666,9
Diploma,141290,2
Associate,137860,0
Certificate,107027,4
Bachelor,142761,2
Master,104797,3
Diploma,67370,1
Associate,122256,3
PhD,67271,3
Bachelor,61006,7
Certificate,109633,0
Diploma,129342,0
PhD,138765,5
Certificate,147776,9
Bachelor,123419,1
Diploma,117881,5
Bachelor,145150,8
PhD,144052,0
Certificate,93031,4
Master,101680,1
Bachelor,134539,7
Master,89151,7
Associate,75580,4
PhD,81994,8
Associate,90550,0
Master,144713,3
Associate,128335,7
Bachelor,55170,9
Certificate,68572,2
Master,134790,1
Master,84866,4
Certificate,102919,9
PhD,62549,9
Certificate,113276,3
PhD,123048,2
Associate,130469,9
PhD,104140,1
Associate,112903,7
Certificate,76054,6
Bachelor,92585,1
Master,98772,3
Associate,82554,8
Master,51824,3
PhD,120003,4
Certificate,100289,3
Bachelor,145791,2
Associate,100679,2
Associate,112280,8
PhD,146833,1
Bachelor,79985,4
PhD,124433,0
Master,118109,5
Bachelor,136701,7
Associate,83206,8
Certificate,122998,2
Master,61481,3
Certificate,71434,4
Master,109843,8
Associate,95085,1
Associate,52246,6
Certificate,87631,0
Certificate,121130,8
Bachelor,98785,6
Associate,59916,2
Master,76903,7
Master,123271,9
Diploma,90556,3
Diploma,72266,6
Certificate,51208,1
Associate,145149,8
Bachelor,110598,7
PhD,108588,1
Associate,138336,6
